Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;FILM11__Kinos__Anzahl;FILM11__Kinos__q;FILM02__Kinos__Anzahl;FILM02__Kinos__q;FILM03__Leinwaende__Anzahl;FILM03__Leinwaende__q;FILM04__Leinwaende__Mill.;FILM04__Leinwaende__q;FILM07__Sitzplaetze_der_Kinos__Anzahl;FILM07__Sitzplaetze_der_Kinos__q;FILM08__Sitzplaetze_der_Kinos__EUR;FILM08__Sitzplaetze_der_Kinos__q;FILM05__Filmbesuche__Mill._EUR;FILM05__Filmbesuche__q;FILM09__Filmbesuche__Mill._EUR;FILM09__Filmbesuche__q;FILM10__Filmbesuche_je_Einwohner__Mill._EUR;FILM10__Filmbesuche_je_Einwohner__q
21611;Kulturstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;1865;e;4783;e;873538;e;152,5;e;1,9;e;5,41;e;824,5;e;17,3;e;807,1;e
21611;Kulturstatistik;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;1815;e;4792;e;884033;e;177,9;e;2,2;e;5,55;e;987,2;e;20,2;e;967,0;e
21611;Kulturstatistik;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;1844;e;4868;e;884790;e;163,9;e;2,0;e;5,86;e;960,1;e;20,4;e;939,7;e
21611;Kulturstatistik;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;1831;e;4868;e;877820;e;149,0;e;1,8;e;5,70;e;849,8;e;19,6;e;830,2;e
21611;Kulturstatistik;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;1845;e;4870;e;864260;e;156,7;e;1,9;e;5,70;e;892,9;e;22,3;e;870,7;e
21611;Kulturstatistik;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;1854;e;4889;e;858592;e;127,3;e;1,5;e;5,85;e;745,0;e;21,3;e;723,7;e
21611;Kulturstatistik;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;1823;e;4848;e;846513;e;136,7;e;1,7;e;5,96;e;814,4;e;17,6;e;796,8;e
21611;Kulturstatistik;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;1812;e;4832;e;836505;e;125,4;e;1,5;e;6,04;e;757,9;e;19,5;e;738,4;e
21611;Kulturstatistik;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;1793;e;4810;e;831913;e;129,4;e;1,6;e;6,14;e;794,7;e;19,0;e;775,7;e
21611;Kulturstatistik;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;1744;e;4734;e;819320;e;146,3;e;1,8;e;6,67;e;976,1;e;20,7;e;955,4;e
21611;Kulturstatistik;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;1714;e;4699;e;809510;e;126,6;e;1,6;e;7,27;e;920,4;e;25,1;e;895,3;e
21611;Kulturstatistik;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;1671;e;4640;e;791983;e;129,6;e;1,6;e;7,39;e;958,1;e;22,5;e;935,6;e
21611;Kulturstatistik;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;1652;e;4617;e;787064;e;135,1;e;1,7;e;7,65;e;1033,0;e;24,4;e;1008,6;e
21611;Kulturstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;1637;e;4610;e;781146;e;129,7;e;1,6;e;7,89;e;1023,0;e;25,1;e;997,9;e
21611;Kulturstatistik;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;1630;e;4637;e;782742;e;121,7;e;1,5;e;8,05;e;979,7;e;24,5;e;955,1;e
21611;Kulturstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;1648;e;4692;e;786356;e;139,2;e;1,7;e;8,39;e;1167,1;e;28,4;e;1138,7;e
21611;Kulturstatistik;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;1654;e;4739;e;787755;e;121,1;e;1,5;e;8,45;e;1023,0;e;26,3;e;996,7;e
21611;Kulturstatistik;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;1672;e;4803;e;789279;e;122,3;e;1,5;e;8,63;e;1056,1;e;23,5;e;1032,6;e
21611;Kulturstatistik;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;1672;e;4849;e;795686;e;105,4;e;1,3;e;8,54;e;899,3;e;20,0;e;879,3;e
21611;Kulturstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;1734;e;4961;e;798442;e;118,6;e;1,4;e;8,63;e;1024,0;e;20,6;e;1003,4;e
21611;Kulturstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;1728;e;4926;e;793624;e;38,1;e;0,5;e;8,35;e;318,0;e;7,6;e;310,4;e
21611;Kulturstatistik;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;1723;e;4931;e;789688;e;42,1;e;0,5;e;8,87;e;373,2;e;4,0;e;369,2;e
21611;Kulturstatistik;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;1730;e;4911;e;777844;e;78,0;e;0,9;e;9,26;e;722,0;e;7,0;e;715,0;e
