Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;PREIS1__Verbraucherpreisindex__2020=100;PREIS1__Verbraucherpreisindex__q
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A5;Verwendungszwecke des Individualkonsums;CC13-0111;    Brot und Getreideerzeugnisse;99,2;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A5;Verwendungszwecke des Individualkonsums;CC13-01111;      Reis, einschließlich Reiszubereitungen;98,7;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A5;Verwendungszwecke des Individualkonsums;CC13-01112;      Mehl und andere Getreideerzeugnisse;100,2;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A5;Verwendungszwecke des Individualkonsums;CC13-01113;      Brot und Brötchen;98,6;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A5;Verwendungszwecke des Individualkonsums;CC13-01114;      Andere Backwaren;99,6;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A5;Verwendungszwecke des Individualkonsums;CC13-01115;      Pizza, Quiches oder Ähnliches;101,1;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A5;Verwendungszwecke des Individualkonsums;CC13-01116;      Teigwaren;98,8;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A5;Verwendungszwecke des Individualkonsums;CC13-01117;      Frühstückszubereitungen;99,8;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A5;Verwendungszwecke des Individualkonsums;CC13-01118;      Andere Getreideprodukte;100,6;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A5;Verwendungszwecke des Individualkonsums;CC13-0112;    Fleisch und Fleischwaren;94,3;e
